,textDisplay
676,"<a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a>"
677,"So sorry about that , congrats Inbox me using the above name to claim prize🎁🎁 on DISCORD"
693,"Hey, why is there no Turkish voiceover?"
695,Porque ami no me invitas para estas cosas xd
703,Day 121 of asking mrbeast for a shoutout
704,What is with the stash scam? Now they threatened my bank account after I replaced the card I used to stop thescam fee being charged you never added to my stash account. I&#39;ve won a few times
708,@JRC711 I&#39;m fine and you?
712,hello how are ou?
713,¿Soy la única que encuentra guapo a Mr beast? 😍
719,Dlaczego nie ma takiej ekipy w Polsce
726,what time are you gonna make the back room
727,Mr beast you always give money . I have a dare for you come to my house I will give you money. That&#39;s a promise .
729,When are you gonna shoutout @theJenningsproject
730,Make more videos
732,Your videos are the best
739,Ok
740,Help MT Channel
742,mr beast i want a car for my mum and dad&#39;s birthday please
743,I MANIFESTED GOERGOE TO WIN BO
744,MrBeast please do this make a techoblade burger
750,Because he is my friend
751,@Li&#39;l Shmuggles fr 💀
756,speed lol
757,Хотел бы поучаствовать в твоих видео только вот беда я в России ( (мы не умераем у нас все более менее ок и мы не пьем водку на каждый чих) MR Beast pls see
758,speed lol
759,"I hope that you win me 5 thousand dollars, please"
760,These are recorded way before
762,Mr.beast please move to Santiago de Chile I beg you
763,"So I’m subscribed to all of your channels, you should totally get me a ps5"
766,I wish speed could&#39;ve lasted long he makes everything so funny
773,"good on year champ,have yourself a good christmas"
774,Rip to speed
776,Amazing good chóp beast :))
777,MR BEAST BEAT PEWDIEPIE!! OMG GUYS!!!
778,Hey Mr beast how about you come to Sam club for 48 hours ok
779,Mr beast
780,МистерБист Я бы хотел попросить зделать подароК ЗСУ Украйни зима уже очень блиська а нашым ЗСУ стае все больше сложнише видбыть ночью територий україни пожалуста надо тепловізори я вам дуже буду благодарний
783,Hi mr beast I’m your biggest fan
785,Mr me saludas
788,Mr beast you have content visiting latin america because it would be really amazing to hear if you say I&#39;m in latin america or even spain or argentina
789,Harry Potter MOD In Minecraft! Epic MUST SEE MOD!!!
791,Эмм почему ролики на русском языке?
792,Tek türk olmamı ödüllendirmen yok mu dostum
795,please turkish dubbing
798,"<a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a>"
799,I love you&#39;re
804,Hii nepal
806,Oi @mrbeast me ajuda ??
808,didn&#39;t expect to hear russian voice acting but i&#39;m russian so i&#39;m happy😁😁😁😁
813,Hello mrbeast I know you are in Chile but I don&#39;t know if you continue but my dad wants you to come to Puerto Montt so you can see him because he is your fan xd
830,انا من اشد المعجبين بك وعلى مسابقاتك اود ان اضهر معك في فيدو حتى ولو بث مباشر
837,Hey cuando vuelve a participar theodd1sout
840,rip speed
844,Мистер лист я очень тебя люблю смотреть я живу в посёлке шимск сними видео про дрифт и передай привет  Ване Одинаеву
846,"That&#39;s in brazilian, i don&#39;t want to watch in brazilian"
849,ok
851,Seriously i think we all wanted harry to win right? ❤️
854,bro speed is a very random no cap 💀
855,Mr beast Allah You Are Honored To Be Muslim Because You Are A Very Good Person(I Love You💗)
856,Watching Harry be happy is so cool
857,"Mr. Bist, you do many good things. Help us Ukrainians. Some people have nothing to eat, some have no light and they are freezing. Please help us!"
859,I bought your chocolate today at Walmart and your chocolate is good
861,Eeeeh..... Mr breast shorts 🤣🤣🤣
862,did you really take ıshowsped lol
865,Neden yazı Türkçe dublaj et
866,george shouldve won
870,NOOOO GEORGE
873,"Mr beast, say hello to me, I&#39;m your fan, greetings from Chile"
874,Buy me a house
878,MRBEAST THE G.O.A.T you make great videos
879,Ok
881,"Hermano, Velocidad quito mano 💀, no gorra 🧢"
883,I love youJust come❤❤
886,Hola mrbear yo soy de chile pero soy de la 4 región y si no saves cual es es coquimbo y soy tu fan saludos
891,Yo i subscribed
898,It&#39;s is still funny how Jimmy has to wear a cap to cover his bald head
900,dang he even got ishowspeed to do it
901,George forever
904,do you moisturize?
906,Я удивился когда увидел ishowspeed
908,"Thank you, you are a good person"
909,يا مستر بيس انت مسلم ام كافر
928,"Я хочу попасть в твои видео, но я жтву в России. Что мне сделать, чтобы я попал к тебе, не переезжая?"
952,"Правильно, не отпускай руку никогда, mein kamerade."
957,مستر بيست أرسليxbox سيريx
959,Good work bro
969,You should make a online game for all countries people.....
975,"OK, Do it."
979,"<a href=""https://www.youtube.com/watch?v=kX3nB4PpJko&amp;t=14m30s"">14:30</a> LMAOOO"
981,Hello bro
984,👆⬆️Text you won🎉
986,👆⬆️Text you won🎉
988,👆⬆️Text you won🎉
990,Xd
1001,Mr beast are ever gonna let a kid in one of your vids
1005,👆⬆️Text you won🎉
1007,Oh my God it&#39;s speed
1009,haha 😂
1013,👆⬆️Text you won🎉
1016,I&#39;m a student from Nepal and want to continue my study toward bachelor
1023,Мистер Бист сними футбол только не Американский
1026,👆⬆️Text you won🎉
1030,i want car
1033,Me beast please come to concepcion/chile
1034,Any tamilans here assemble 🙋
1038,Bro can you please give me ps5 that&#39;s my bream
