,textDisplay
3990,Speed are you okay because I&#39;m just looking at you
3993,Зделоите столико потпишикав как и у Mrbista
3996,Thanks for your feedback <br>You have been selected as a lucky winner today🎉🎉<br>👆Dm the above telegram page to claim your package🎉🎉...
3999,Mr. Beast Im from Philippines i am ready to take any of your challenge
4002,Hello
4003,Hello
4009,Thanks for your feedback <br>You have been selected as a lucky winner today🎉🎉<br>👆Dm the above telegram page to claim your package🎉🎉...
4010,Mr beast today is my birhday and if you want you can come
4012,Mr Beast I need 50k N im gonna watch all ur videos
4014,Ahmet Bul Beni
4021,"Здравствуйте, MrBeast да я русский спасибо благодаря вам мы смотрим ваши любимые видео на русском MrBeast я не хочу войну между России и Украины я очень сильно люблю вас и ваши видео и Америку слава России и Америки🇺🇦🇺🇸🇷🇺😍🥰😘❤❤❤❤❤❤❤❤❤"
4026,My from Nepal
4027,Thanks for your feedback <br>You have been selected as a lucky winner today🎉🎉<br>👆Dm the above telegram page to claim your package🎉🎉...
4030,I&#39;m honestly requesting Mr. Beast to come in India and give people free money here coz poor people here are more than anywhere in the world. It&#39;s an earnest request to Jimmy to please come to India and donate your money to the poor people here. Love what you do bro🙏
4035,Pakistan come to Balochistan city Quetta plzz
4036,Pakistan come to Balochistan city Quetta plzz
4037,Pakistan come to Balochistan city Quetta plzz
4038,Hello sir me Assam se hai sir
4039,Pakistan come to Balochistan city Quetta plzz
4041,Pakistan come to Balochistan city Quetta plzz
4044,Isnowpad soy tu fan
4046,Pakistan come to Balochistan city Quetta plzz
4049,Mr Breast
4051,Turkish dubbed please
4053,My lad Harry let&#39;s go I actually better money on you when I watched this with my friend for the first time
4058,Pls money pls
4059,Thanks for your feedback <br>You have been selected as a lucky winner today🎉🎉<br>👆Dm the above telegram page to claim your package🎉🎉...
4061,JIMMY you should open a challenge channel and also dub all your other channels and this channel in other languages
4062,Oi mr beast hello mr beast
4063,Let&#39;s go Harry
4065,Plzz give me money 💰🤑 I
4069,"Поздравляю🎉🎉, напиши мне, чтобы получить приз🎁на DISCORD 👄"
4072,Recently found out you can buy and shoot a real missile in south Carolina so want to ask could you afford a missile and fire it in south Carolina
4076,MR BEAST PLISE PS5
4077,Sir please I am coming your videos
4084,Bruh the speed voice 💀
4085,Your catching up on pewdiepie
4087,Oh George
4089,HI Mr Beast can&#39;t i come do your chalince
4094,Sir I hope you will help me so
4097,Mrbeast do you Remember me
4104,@MrBeast ben daha 10 yaşındayım ve bana telofon verirmisin<br>lütven
4107,I&#39;VE ALWAYS BEEN WAITING FOR YOUR NEW VLOG
4108,"Việt Nam me, ilove you"
4109,Good
4115,Will you come to eat Korean Barbecue with my family?
4116,I’m so sad brother is going to his friends house because he angry because my dad is so angry for no reason
4118,"Hello my friend. I am Azerbaijani. I am your follower. My friend, I want to buy a car, can you help me? Actually, I don&#39;t believe you will see what I wrote. Take care of yourself🤗😌😌"
4122,i want  to  be in your vedios  but i am in  kenya
4127,Ổng biết ghi tiếng Việt nhưng nói tiếng Anh
4131,Việt Nam 🇻🇳
4133,Fyi I&#39;ve been subbed and watching since 50choirs in a coffin
4141,I&#39;m watching you with respect and love please
4143,we don&#39;t have a brother status I&#39;m in Turkey please contact us
4144,Speeeeed noooo
4145,Spewed nooooo
4148,Ты разве не Американец?
4156,Why did you quit Vietnamese dubbing?
4175,تحياتي يا مستر بيست احبك متابعك من مصر🇪🇬🇪🇬❤️
4182,"Nooooo, Speed!"
4185,Sen türk müsün
4187,"Мистер бист, а почему твои ролики теперь на русском?"
4191,"Congratulations 🎉🎉, inbox me on DISCORD to claim prize🎁❤🎁"
4192,# mast hai bhaiya ji ❤️🥰😘
4193,Mr beast fans👇👇👇👇👇
4194,You surpassed @pewdipie
4202,I&#39;m Arab
4205,يا الهي allahu akbar
4210,A bist burgiers will be in Russia
4213,Mr beast
4223,А ты говоришь на русском
4225,Việt nam 🇻🇳 Xin chào bạn
4227,"Привет Мистер Бист,  я из России и мне нравятся твои ролики и я хотел бы поучаствовать в одном из них но неуверенн что это возможно :("
4228,Good day for me to be
4230,Привет из России я твой подписчик подари денег
4237,Gotta respect Harry&#39;s integrity man. Asked for jimmy to check even if they didn&#39;t notice and still comes out with the dub .Harry was always looking for a way to hold onto the bag.while vikk couldn&#39;t have cared more.
4266,انا من مصر ونفسي العب لعبه من هذه اللعب نفسي اكون مليونير
4267,И я из России
4268,PLS. What  You  Have  CAR!!!
4269,Good
4276,Ok
4287,Good ❤
4291,Am viet nam bro :))
4293,"Congratulations 🎉🎉, inbox me on DISCORD to claim prize🎁❤🎁"
4299,Ada Indonesia
4301,"Feeling the earthquake, my friends also in Cianjur had their houses destroyed because of the earthquake, please Mr Beast come to Indonesia, Cianjur, please"
4302,"Precisely in the Cianjur area, there is a large earthquake that has resulted in fatalities. Mostly, I want you to donate your money to my relatives who are in Cianjur, because I am too."
4306,How you know russian?
4307,Why you now shark russian?
4320,мистер бист гвоорит по руски?
4321,Ура бист кросава
4330,Hai Mr beast I&#39;m a fun lives in the Philippines :) I&#39;m happy with your videos
4332,"Это типо новая функция ютуба, теперь на разных языках могут быть не только видео но и аудио дорожки"
4339,Mr. Speech
4343,I want to win your diamond play button
4348,I have no many
4356,سبيد يعبث فقط لكن خسر في النهاية
4357,Build a house using lego
4372,Can i have too your credit card ill buy ps5 games and a ps plus subscription 😂
4377,@MisterBeast plis me ps5
4379,Mr Beast please come pakistan
4380,I want to meet you but I have no luck
4382,I want 10 thousand dollars
4384,"mrbeast is the scam man seriously, it is incredible"
4386,Hi guys I hope you waiting my videos 😘
4387,Hi guys I hope you waiting my videos 😘
4388,Teacher: don&#39;t copy each other&#39;s work<br><br>Me and my friends: 🇲🇫🇳🇱🇷🇺.Hi guys I hope you waiting my videos 😘
4390,Hi guys I hope you waiting my videos 😘
4391,I wana only 1000$ man 😭
4397,challenge 24h survival on deserted island go MrBeast. Vietnamese people are waiting for this episode.
4399,@ZzoRo It didn&#39;t matter.
4402,i want jake the viking back
4408,CHRIS NOOO
4412,broo come to turkey
4413,ياله من محظوظ
4416,"hey beast, please bring back Jake The Viking &amp; Garret! we miss them"
4424,Why does the videos on different language dubbing
4430,Hello
4437,mr feast
4444,Challenge ek baar mujhe bhi dijiye
4447,Mong anh dịch ra tiếng việt
4450,Mr Beast do you know Russian
4451,مستر بيست خذ سحب من القنات اثانيه
4456,Excelente competicin y los jugadores se portaron todos con muchos respecto congratulacin MB
4460,U SOULD do a cookie n cream mr beast bar
4466,Привет Я из России и Я люблю твои видео ты очень добрый человек
4467,Vedeo bạn rất cuốn ❤
4472,الو في عرب يتبع مستر بيس
4474,Another banger
4475,hello
4478,Bri&#39;ish
4485,O no me esperaba que saliera speed
4489,When are you going to make a mr beast Japanese channel?!?
4522,"Бист, почему ты делаешь видео на русском"
4543,no
4544,Tên này buôn bán ma túy và hắn ta đang cố gắng để rửa tiền.
4564,mrbeast you take the money back that you give to people your still billonare
4565,Dang he beated pewdiepie.
4582,Мистер бист Я люблю твой канал но я русский человек как мне попасть к твоему видеу Я живу на Губина 37
4585,come to russia
4601,Gibs honesty man
4604,I had high hopes on speed
4608,"Their only chance to do any thing with that jet is to lease back it to a charter company.  It’s so massively expensive to use, even once."
4610,&quot;But close isn&#39;t good enough&quot; good one
4617,he wont because he doesnt care
4626,Nooo p sped
4628,It&#39;s been 10 days 🗿 Mrbeast normally uploads after a month
4633,Wow oh god
4635,Hi Mr bees I&#39;m your hugest fan I&#39;ve always wanted to meet you
4639,﴿يا أَيُّهَا الَّذينَ آمَنوا إِنَّمَا الخَمرُ وَالمَيسِرُ وَالأَنصابُ وَالأَزلامُ رِجسٌ مِن عَمَلِ الشَّيطانِ فَاجتَنِبوهُ لَعَلَّكُم تُفلِحونَ﴾ إِنَّما يُريدُ الشَّيطانُ أَن يوقِعَ بَينَكُمُ العَداوَةَ وَالبَغضاءَ فِي الخَمرِ وَالمَيسِرِ وَيَصُدَّكُم عَن ذِكرِ اللَّهِ وَعَنِ الصَّلاةِ فَهَل أَنتُم مُنتَهونَ﴾
4641,حتاج لا جهاز ايفون 🥺🥺
4648,Oi
4649,He ain’t called speed for nothing😂😂😂
4651,Hello
4653,Yo u should shout out the Thejenningproject
4655,because they changed his voice
4658,He literally gives money to poor people
4660,@Norman adrian Rodriguez No.
4661,No
4662,اللهم صلى وسلم وبارك على سيدنا ونبينا محمد عليه افضل الصلاة والسلام
4663,ahora sabes español xd
4666,"<a href=""https://www.youtube.com/watch?v=kX3nB4PpJko&amp;t=10m00s"">10:00</a>"
4671,speeed
4681,Mr Beast scams homeless people because my content is better
4682,Xd Ñ
4684,Harry FTW?! Fucking awesome 👏🏻 😂
4687,I want a car please
4689,Hello hajagoo
4690,Lol
4696,Essa dublagem do speed 🤡😂
4701,i no carl&#39;s last name it&#39;s j
4708,No entiendo porque con tanto dinero sus videos no son en 8k XD
4714,I am in Morocco and I follow all your videos. Continue 💗💗
4719,GG
4721,"I&#39;m a fan of you, I opened a channel and I don&#39;t have any money 😟😟🙏🙏"
4725,Hello
4728,yea well and he wouldn&#39;t have the money
4729,Махачкала на связи
4732,Mrbseat giv me a ps5
4736,xd
4740,Every day Blades wants to come join a Mr Beat Contest!!!
4746,congrats on passing pewdiepie
4753,Do it!!!
4757,GİVE ME MONEY
4760,Turkish plsssssss
4763,If i&#39;m the lucky person in this world i think mr beast should donate me some dollars
4769,Congrats on passing pewdiepie!
4772,I wanna compete with Mr beast
4778,Mistrebeast Came to morocco🙂🥰
4782,Good stuff
4783,اريد الظهور في أحد فيديوهاتك يا صديقي
4784,"<a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a>"
4786,ok
4788,You are beating pewpie in subscribes
4793,BRING SPEED BACK IN THE NEXT VID!!!!
4796,Yo por más difícil no quitaría la mano
4797,I want please
4800,"I subscribe to all your channels, but I&#39;m Egyptian, and I love you, Mr. Beast, but I can&#39;t reach you because I&#39;m Egyptian."
4805,@DamianElDestroy that’s what I’m saying
4808,Turkish
4809,Hello me thai
4812,I heard that you hated poor people
4816,Me when i saw speed: OOOO
4823,mrBeast tanbem quero participar pufavor me aseite
4825,Mr Beast you should go on a tour to meet on your fans and your first destination should be McAllen Texas
4826,No spead
4832,Hermano velocidad es demasiado aleatorio 💀 no gorra 🧢
4835,Alright! Let&#39;s catch up with t-series! 💪
4836,Mr beast just asking do any of them even know how to drive it?
4837,ياسيدBeast أتمنى لو أتواصل معك لأمس الحاجه للمساعده منك  وأرجو من الجميع أن تساعدوني يصل هاذه الكلام للسيد MrBeast
4842,Trillions has been donated to help.
4847,la &#39;iilah &#39;iilaa allah🇵🇸
4854,Mr Beast 2040: 2000 people competing one private cruise ship
4865,"Congratulations 🎉🎉, inbox me on DISCORD to claim prize🎁❤🎁"
4868,Sir please contact me?
4874,"Podrían viajar a Sudamérica, en Chile los invito a mi humilde casa jeje"
4876,@MrBeast COME TO KENYA MAN🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪I WILL REAL APPRECIATE BRO
4878,you beat pewdiepie
4881,Че когда в россию? Бутово нужно)) (GO TO SOUTH BUTOVO!)
4883,Mr. Best me da um pc gamer
4888,"Maybe you should spend 2 and a half million dollars on your burger chain. Tried it the other day and it&#39;s an absolute, overpriced joke."
4892,I’ll sign a contract 🤓
4895,I’m at your store 😊😊🎉🎉
4908,"Поздравляю🎉🎉, напиши мне, чтобы получить приз🎁на DISCORD 👄"
4912,Hello
4916,This would be funny love these vids
4922,do you have a game to help French people win
4924,Proof how is it real 😊
4925,"please , change de voice in spanish plis ):"
4933,Hi MrBeast! My son is a huge fan of yours and your videos! He would love to do a challenge with you.
4934,Я так понял что ролики выходят на основном канале на русском и на английском
4935,Regálame algo.....
4939,Hello
4940,Alguien español na nadie hello
4943,"Congratulations 🎉🎉, inbox me on DISCORD to claim prize🎁❤🎁"
4945,No way ishowspeed competed in this 😀
4946,Man I wish mr beast would make the back rooms
4949,oi
4953,Спасибо за перевод 🇷🇺
4955,Shout out to thejenniningsproject
4956,"Que mal, le cambiaron la voz del doblaje"
4957,Congrats
4960,Please sir pc giveaway de do muja
4966,I wish your could come to Africa (nigeria)
4971,Gime with d opportunity i will win 😅
4972,Hiy Mr Beast 😀😀😀
4974,"Emocionante, mais um traduzido 😢🤌"
4981,I remember once MrDebil said he would never let his channel pass pewdiepie.. Guess you gotta delete it now
4982,Мистер бист умения есть идея про конторснайк в риалный жизи
4984,Pick me next
4990,PUT SPEED IN MORE OF YOUR VIDEOS
4993,Come to India my city is Bangalore
4994,"Include me in the team you&#39;re so good, mate"
4999,Come to India my city is Bangalore
5000,I watch all your videos
5001,Я бы легла на крыле самолёта и лежала бы на руке)
5003,I&#39;m a very biggest fan of your channel
5005,Bro biggest fan of your channel
5008,Please help me Mr beats
5011,Come to India my city is Bangalore
5012,Come to India my city is Bangalore
5013,"DO A COMPETITION MR BEAN VS MR BEAST🤣CMON, COMPETITION TOPIC: WHO&#39;S FUNNIER"
5014,Come to India my city is Bangalore
5015,Come to India my city is Bangalore
5017,Come to India my city is Bangalore
5018,Come to India my city is Bangalore
5019,Come to India my city is Bangalore
5020,Come to India my city is Bangalore
5021,Come to India my city is Bangalore
5022,Come to India my city is Bangalore
5023,Come to India my city is Bangalore
5024,he already went to India
5025,Come to India my city is Bangalore
5026,Come to India my city is Bangalore
5027,Come to India my city is Bangalore
5028,Come to India my city is Bangalore
5030,Bro come to India
5035,HAPPY THANKSGIVING MR BEAST
5037,Bro come to Bangalore... it&#39;s in India
5038,Please come to India
5039,You should definitely invite a Turk to your competitions🙃
5040,"<a href=""about:invalid#zCSafez""></a>"
5041,Surprise Messi Mr Beans Hello Mister
5044,Gimme money 😢
5053,Soy de República Dominicana me gustaría competir también
5070,من احب اليوتيوبرز  في العالم ❤
5072,Sir please post this type of video&#39;s........ On MR BEAST HINDI CHANNEL ☺
5073,MR Beast plzzz come to Pakistan
5074,Почему я слышу на русском языке?
5075,Hello mr beast
5078,Doblado en algunos idiomas
5083,Espero algun dia quisiera conocerlo en persona
5087,Ola mr bisti sabe eu tinha um ps4 mas ele quebro você pode me dar outro
5106,Very good mrbeast
5110,"Congratulations 🎉🎉, inbox me on DISCORD to claim prize🎁❤🎁"
5113,Now
5114,Now!!!!
5118,I&#39;m interested Your All Games
5122,Он по русски говорит
5125,Why did u say fuck poor pepole?
5127,do you know Russian and why in Russian
5137,Hello
5140,Mr beast bro pls TURKISH LAGUE
5142,Beni ünlü et kralım<br>👇<br>👇
5144,Mr beast I m very sorry..
5145,Dünyanın en çılgın insansın     nolur gör beni diyenler<br>👇<br>👇
5147,что?
5149,#.give a task duchess....He is a Russian blogger
5150,#.give a task duchess....He is a Russian blogger
5152,5 days left...
5153,27 November... 5 days left
5154,I am crying 😭 I am poor from Nepal 😳😳🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺😭
5155,Почему видео мистера биста переозвучены на русский?
5156,Plz take me on your Game
5157,NO
5162,&quot;Harry&#39;s face kills me&quot;
5163,Да кст я на мистер биста подписан
5172,The song I lose your boy
5174,"Everyday, we getting closer to mrbeast going into space"
5175,Melhor canal do mundo MRbeast💕
5181,Good
5182,I will glue myself on that airplane 😅😅 to win it
5186,Me no touch for iPhone 😔
5191,متابعينك من العراق
5197,George :(
5198,Opa sou escrito no canal poderia me mandar 20 mil pra mim ?
5200,MrBeast I’m your biggest fan
5211,Parabéns pelo top1 você merece ❤️🔥
5219,Gostei do seus videos
5223,انا انسان غلبان اريد عشره الف دولار من أجل مراسيم الزواج
5225,من مصر احبك واتمني ان اكون معك في يوم 🤍💙
5226,Yun Tube SPD No1 Thailand
5228,Pewdiepie GG
5229,I love your vids I hope to be in one sometime?
5231,Hlo sir i watching your videos hindi dubbed you&#39;re so lovely person
5232,I wanna come join too...!
5236,"Alguém me explica uma coisa?  A dublagem muda dependendo do pais que assiste? Não acredita que esses gringo assiste , com a dublagem em português."
5255,Preciso de um pix.
5261,Привет я тоже блогер и ваш подписчик я живу в Турции мне нравится ваши видео надеюс когда не будь вы придете в Турции так как я нуждаюс в помощ а вы помагаете спасибо .😊 желаю дальнейших успехов всего хорошего
5262,Muje thode paise  chaiya apa muje paise free main de sakate hai kaiya plz Mr beast
5269,Please help... 🤜💥🤛🇵🇪
5270,I want a computer for education.
5274,Sir please please please please please help me sir I will touch your leg asking please please please help me sir I want money
5275,I want to be a lucky person But I forgot that I am Thai.😁👌
5277,em k hiểu anh ơi 😭😭😭😭
5279,Почему монтаж на русском сразу тут 🤷🏼‍♂️
5280,Jimmy do  10000000$ worth of scratch off tickets
5285,Tiếng Việt đâu rồi😂😂
5289,"Congratulations 🎉🎉, inbox me on DISCORD to claim prize🎁❤🎁"
5296,please enter my poll pleeasee
5298,Ước j toi co the tham gia truong trình  của bạn
5300,ребята что с ютубом <br>на официальном канале мистера биста всё на русском
5306,lol
5341,"Mr. Pest, take me with you, please"
5344,George fan: WAAAAAAAAAAA
5355,Có ai người việt nam không
5356,Please translate to English
5365,Is real bro
5366,Real
5370,Eu não posso fazer o jogo 😞
5376,"Даже если эта &quot;фигня&quot; (смертоносная война ) закончиться. То клеймо страны террориста с России ещё долго не снимут . <br>Когда твои дети в первый класс пойдут, примерно к тому времени, он сможет приехать."
5386,mrbreast gib me money
5393,I think you know that’s a scam
5395,come with your team chadlwer crish noah carl and more
5398,The video&#39;s called last to take hand off though.
5415,lol @MrBeast you came on NATIONAL Telivision yesterday in Belgium made some people mad 🤣😂
5416,Turkish
5417,Mr beast I am your biggest fan please iPhone 13 Pro Max gift
5423,I love yours all videos I hope I am meet you someday
5424,That great i want try
5429,Wow excited
5432,Good that ishowspeed didn’t win 😊
5433,Mrbest
5437,"Congratulations 🎉🎉, inbox me on DISCORD to claim prize🎁❤🎁"
5440,"Я не понимаю… почему тут озвучка на русском, это же его канал"
5443,Gw cuma yang orang indo
5450,Hello
5453,I AM A New Fan OF MR BEAST
5459,so cool 😂
5464,"Hi. My country is Bangladesh in Asia. Do you please give me a gaming pc for free? I need a pc, but i have  no money . Please make my Wish in real. Please"
5466,I wand money
5471,May i get 5k Mr Beast
5473,‏أود أن أربح معك أنا من المغرب أرجوك
5486,He’s a bot
5488,"No, scammer"
5534,Make a new vidio u going to the conjuring house for 24 hrs I bet u my house if u and do that
5543,Good!!
5545,Ok
5548,“Are you serious right now”💀
5552,I agree I don&#39;t understand how he rented that airport either
5554,what happened to mrbeast&#39;s voice in spanish?
5555,I remember Harry’s Brother I remember him in Harry’s channel He grew so much
5566,help mr.beast
5567,Bruh nooo
5577,لماذا لا يوجود تحديات في مصر او بلاد  اخري؟؟؟
5579,Moi j&#39;ai juste besoin de 1000$ pour commencer un business 😩
5581,Shoutout Gib for being so honest
5585,Rip speed
5587,"&quot;U were this close, but close doesn&#39;t matter!!!&quot;  Ha ha ha"
5589,Mr beast felicidades por tus 112 millones eres el mejor dios te pretega y te cuide
5591,All the black people gone in seconds
5597,Where&#39;s all the Asains at man!!!
5601,Congrats Harry!
5602,Te amoooooooo
5603,George lost pog
5605,Please read it!
5617,Money.
5619,"Congratulations 🎉🎉, inbox me on DISCORD to claim prize🎁❤🎁"
5620,He passed pewdiepie
5624,كيف الاشتراك في اللعبة
5631,Good ...trims
5639,I am subscribed I want a diamond Play button
5641,Yo mr beast it my birthday
5642,"Alguém poderia me explicar como todos os videos do mr beast estão dublado em português, no canal principal?"
5647,Good show
5649,I made the mr beast challenge and I didn’t get the challenge
5650,xd
5656,"Congratulations 🎉🎉, inbox me on DISCORD to claim prize🎁❤🎁"
5658,Are you from Russia? Respect!
5659,Está voz no es la de la historia del meme 😨
5661,Please donat may stim mizorox
5663,Mr. B’s I made a class for you it’s about your logo
5664,Why all the limey brits
5668,Day 116 of asking mrbeast for a shoutout
5676,You now I am form Nepal and am your biggest fan 🥰🥰🥰🥰🥰
5679,لاتنسى ان تصلي على رسول الله صلى الله عليه وسلم
5681,"Congratulations 🎉🎉, inbox me on DISCORD to claim prize🎁❤🎁"
5690,Xd
5699,aun no me suscribi los de Uruguay tambien pueden ganar premios por hacerlo?
5711,Puedes venir a mi cumpleaños te sigo en todos tus canales soy de México
5713,porque esta en en canal de mr beast original pero esta en español?
5720,DONE<br>I already suscribe to your chanel!!
5723,Low chance u will see this but how do u get popular so fast
5724,Speed should’ve stayed and annoyed the other contestants
5728,Esta buena pero creo que no soy el único que le gusta más la primera voz
5731,Mr beast Help me I’ll do anything
5732,Mr beast past pewdiepie...
5733,You&#39;re the best MrBeast 🤩🤩🤩
5736,Aprende a escribir xd
5739,Hello mr beast..
5741,Ok
5742,"Congratulations 🎉🎉, inbox me on DISCORD to claim prize🎁❤🎁"
5745,estoy triste porque cambio el doblaje de Mrbeast en español
5748,Vraiment vous avez l&#39;argent
5757,Indonesia dubbing? 😆 😆
5766,I love how Mr best buy tried to help PewDiePie but he has more than PewDiePie
5768,I SAW ISHOWSPEED
5773,MRBEAS yo soy subcritor de todos tus caales puedes salludarme
5779,You guys should give thejenningsproject money
5782,I love how I have subscribed since 38 million but haven’t won any rewards nor gotten into any videos.
5783,I wonder why he win
5785,I&#39;ve been watching your videos for a week and they are super crazy greetings
5798,Tặng em kim cương đi anh 4763693088
5799,Sus
5800,Regálame una casa por favor vivo en U.S.A❤❤
5801,Me gustan mucho tus videos mr beast
5802,He doesn’t do it off camera
5806,Dog i show speed you lose
5813,shoutout pls
5814,come to Turkey
5815,come to Turkey
5816,come to Turkey
5817,OH MY GOOD ISHOWSPEED !!!!
5818,come to Turkey
5819,come to Turkey
5820,come to Turkey
5821,come to Turkey
5825,MrBeast come to brazil please come to São paulooo 🥺🥺
5828,It&#39;s all funny dude🤣
5830,Real bro !!! ???
5831,9 days bro
5839,"Congratulations 🎉🎉, inbox me on DISCORD to claim prize🎁❤🎁"
5841,We want more speed
5843,Was this only supposed to be male youtubers??
5845,Very good
5847,Hello
5848,xd
5860,mr beast tu enemigo te odia se llama dan sur
5861,Good vid
5862,Oh my good :)
5866,مسر بيست انا اقبل اي تحدي منك يكون مقبول ❤🌹
5869,EVEN MY BOY ISHOWSPEED IS HERE
5871,Есть кто из России🤍💙❤️
5872,I know what your Roblox account i friend you
5873,My brother is wishing that Speed come back to another challenge
5874,هل يمكن ان تستدعي عربي للمشاركة معكم؟  انا اريد المشاركة معكم
5875,احبك كثيرا هل تساعدني
5876,Please do more youtuber challenge’s.
5885,Oh my goodness!
5890,SAW
5916,speed lost so fast LMAO
5932,I&#39;m subscribed 😻
5934,Speed keeps barking at people😂
5936,It&#39;s amazing 😍
5937,Bana 10 bin dolar vermez misin 🥺
5942,Тощие Мистер Бич ты наверное сейчас напишешь Ну и я тебя твое сообщение в одно видео про него Ну типа в этом я сижу не очень страшная потому что в Украине живу не понимаешь как это
5943,Chunkz is savage
5944,i wouldve been out if speed barked on me
5948,Yo jemmy play some more cod 2 thet wos good
5954,Rip speed
5956,Come to turkey pleas
5962,@Inbox me on Discord 👉Mr B#7489 THIS AIN&#39;T THE REAL MR. BEAST
5964,This guy makes 12 videos in a year
5985,People think you make your contestents pay all the money you give them on tAx
5986,Latest on making people do stuff for money.....
5988,No sir 😂👎
6001,Money
6002,Help
6003,Help
6004,Help
6007,مستر بيست شكرن  علا الترجمة ال الاقة العربية انا من العراق
6010,I show speed lose :(
6013,HELLO
6019,انا عربي من الجزائر وحلم حياتي ان اشارك في العابك يا مستر بيست في عمري 26سنة واعيش حياة صعبة اريد فعل مشروع صغير ولا يوجد راس مال كل يوم ادعي لله عز وجل ان يصلح احوالي وتقتي بالله عز.وجل لن تروكني  سوف يرزقني بشخص يساعدني
6020,"Man&#39;s doing his thing, Congrats Inbox me using the above name to claim prize 🎁🎁 on DISCORD"
6023,Почему оно на русском?
6025,"If only u could come, we all looooove you,"
6031,i saw you
6036,"Хорошее видео, ставлю лайк, ещё кстати не видел ни одного русского человека в комментариях или видео, надеюсь русские люди будут появлятся в роликах"
6040,يا سيد مستر بيست محتوياتك رائعة ولاكن لو كنت مسلما لفتخر بك المسلمون اكثر و التبرع لليتمى كما يقول ديننا الحنيف
6041,في حدا عربي دخل يشووف التعليقات يصف جنبي 😂😂😂😂
6043,REEE SPEED DIDNT WIN I AM MAD 😡
6048,please help
6052,please help
6053,Mr beats porfavor soy de Paraguay y te pido que si es que puedes ayudarme ami y ami familia porque mi papa no tiene trabajo y estamos pasando por una mala situación comprendo si no te interesa este comentario y soy de ñemby asunción entrada de cerro en un taller porfavor si es algo mínimo ayudanos de alguna manera.
6069,"Thank you for all your donations! Please, consider helping UKRAINE to fight war against fascist&#39;s Russia"
6070,congratulations ☝💫.  Thanks for leaving me comments you have been selected among my random winners hit me up to claim your prize 🍾🍾
6072,congratulations ☝💫.  Thanks for leaving me comments you have been selected among my random winners hit me up to claim your prize 🍾🍾
6074,I subscribed
6075,Harikasın adamım bana dönermisin Turkey yazıyorum
6090,"Congratulations 🎉🎉, inbox me on DISCORD to claim prize🎁❤🎁"
6092,Мистер бист почему ты снимаешь на русском?Mr. beiste why are you shooting in Russian?
6093,Mrbeast your my fav youtuber do your best
6094,"Поздравляю🎉🎉, напиши мне, чтобы получить приз🎁на DISCORD 👄"
6095,Off brand MR.feast
6100,ok
6104,"I&#39;m is RUSSIAN, hello MrBeast"
6111,I want your button 🥰
6115,Очень класное видео.
6119,so how did bro offset?
6134,You should react to belugas videos he will be happy
6136,You&#39;re cool
6137,Yaaas i show speeed
6139,"@<a href=""https://www.youtube.com/watch?v=kX3nB4PpJko&amp;t=2m23s"">2:23</a> coffeezilla caught this spaz red handed doing crypto scams. Why was he even allowed on the show?"
6143,I know how he acts when the camera is off
6144,Mebeast как нащёлкай встретиться в Москве
6147,Come to india to do the same with me 😂🫶🏻 Would mean a lot….btw subscribed you long time ago
6148,Your videos are so cool I wish I was you 😃
6163,"Please take this terrible dub of your videos, if I didn&#39;t know English I&#39;d just read the subtitles"
6172,I&#39;m from Russia and you speak Russian&#39;.)
6175,Why chunkz there and Niko
6185,how do we deactivate the doublage
6188,how&#39;s he gonna catch a litteral frame? very inspective if that&#39;s the word
6193,PLS TURKISH DUBLAJ
6198,No
6199,great channel bro.
6201,Hi Mr beast I am from India and I am a middle class boy I want a iPhone because I want to be a gamer that&#39;s why you can help me for being a professional gamer and I Am Your Biggest Fan❤
6203,Eisenwolf? Por qué hablas con masturbin
6212,brother in Turkish come on
6216,"Happy he came. Congrats,inbox me using the above name to claim prize 🎁🎁 on DISCORD"
6222,Ước gì mình là ng may mắn ❤️❤️❤️❤️❤️
6226,You good man
6229,"Спид тут самый имбовый,спид соло всех.Спида тупо слили из-за сценария этой серии,если бы не защита сюжета остальных ноунеймов то спид бы выиграл"
6230,Soy tu fan saludos de chile eres el mejor
6240,Harry
6248,i have been scam by someone pretending to be you. my bank account got hacked and lost some money.. 😢
6252,"Sure I will,he&#39;s interesting. Congrats,inbox me using the above name to claim prize 🎁🎁 on DISCORD"
6254,"Жалко то, что с переводом могу теперь кучу видео смотреть, но мерч заказать не смогу, потому что в Украину сейчас не доставят("
6256,чел у vik&#39;а локоть был на колесе
6257,"Lol haha, Congrats,inbox me using the above name to claim prize 🎁🎁 on DISCORD"
6259,ok
6261,@playbeatsofficialchhanel follow no
6263,Ok
6267,Hello UZBEKISTAN  XIVA 🇺🇿
6269,George i belived in you whyyyyyyy WHYYYYYYYYYYYYYYYYYYY!!!!!!???????????????
6274,@Brian Hutt dont its a scam
6275,I will be on in 1h10m
6277,How dare u say that about poor people you should be ashamed
6287,"May I have $2,500"
